id,num_rooms,flat,district,house,floor_num,floors_num,square_total,square_living,square_kitchen,price
14297192,1,,ленинский,"Ленина пр-т, 18",2,4,34.5,20.0,10.0,2242500
15977096,2,старой планировки,ленинский,"Ломоносова, 23",2,3,55.6,33.0,9.0,4000000
15383183,2,улучшенная,орджоникидзевский,"Сиреневый проезд, 28",8,9,50.0,38.0,9.0,4850000
15977092,4,гребенка,орджоникидзевский (левый берег),"Красноармейская, 6",3,3,84.0,56.0,20.0,3950000
15972311,2,,орджоникидзевский,"ул Зеленый лог, 23",8,10,45.0,30.0,6.0,2600000
15972310,-1,,,"Сиреневый проезд, 11/2",9,9,53.0,40.0,9.0,3500000
15972309,2,,,"Лесная, 8А",4,5,45.5,38.0,6.0,2400000
15972308,3,,,"Советской Армии, 29/1",5,5,61.5,45.0,6.0,4100000
15971628,3,,орджоникидзевский,"Ленина пр-т, 145/2",1,5,65.0,0.0,9.0,3500000
15967054,2,,правобережный,"Карла Маркса, 91",5,9,53.0,35.0,8.0,4100000
14965213,1,,ленинский,"Панькова, 3/1",1,3,26.0,13.0,7.0,1000000
15553255,3,,,"ул Первомайская, 3",1,3,67.9,47.7,6.0,4199000
15553256,4,,,"Советская, 147/5",4,5,61.0,45.0,7.0,4050000
15961469,2,,орджоникидзевский,"Труда, 59/1",7,10,62.6,38.0,12.0,6100000
15909831,3,,орджоникидзевский,"Труда, 14",8,9,80.0,53.0,9.0,5800000
15961515,2,гребенка,ленинский,"Строителей, 49",2,5,56.2,30.2,8.5,3500000
15961462,1,,,"Карла Маркса, 230/1",5,9,32.0,18.0,8.0,2520000
15961460,2,,,"Жукова, 14/2",1,10,57.1,35.0,10.0,4000000
15961459,2,,,"Ленина пр-т, 37",2,5,52.0,30.0,8.0,3900000
15961458,3,,,"Ленина пр-т, 33",3,5,81.2,65.0,9.0,5200000
15961456,2,,правобережный,"ул Индустриальная, 15",1,1,57.5,38.0,9.0,4800000
15961455,1,,,"ул Мичурина, 136/2",6,9,36.7,20.0,9.0,3250000
15961454,2,,,"ул Дружбы, 17",5,5,44.0,0.0,6.0,2800000
15961450,1,,,"ул Чекалина, 10",1,5,30.0,18.0,6.0,2000000
15961444,1,,,"Привокзальная, 29кв1",1,1,42.5,22.0,12.0,400000
15961437,3,,,"Ленина пр-т, 86",9,9,65.2,0.0,0.0,4250000
15961436,3,,,"ул Строителей, 49",3,4,95.0,60.0,10.0,7000000
15961254,2,,ленинский,"Ленина пр-т, 45/1",1,3,51.1,33.4,8.7,3900000
15960514,1,,орджоникидзевский,"Ленина пр-т, 148",2,14,36.0,18.0,12.0,2800000
15960513,3,,ленинский,"Строителей, 43",1,4,81.4,50.0,25.0,6990000
